segid, numpos, num1mm, num2mm, num5mm, num2hits, ratio numpos, ratio num1mm, ratio num2mm, ratio num5mm, ratio num2hits
0, 5655, 4789, 5204, 5495, 38, 100, 84.6861, 92.0248, 97.1706, 0.671972
1, 5265, 4611, 5000, 5195, 28, 100, 87.5783, 94.9668, 98.6705, 0.531814
2, 4732, 4404, 4559, 4663, 3, 100, 93.0685, 96.344, 98.5418, 0.0633981
3, 4732, 4214, 4432, 4636, 17, 100, 89.0533, 93.6602, 97.9713, 0.359256
4, 4732, 4397, 4575, 4689, 10, 100, 92.9205, 96.6822, 99.0913, 0.211327
5, 5460, 5118, 5247, 5365, 2, 100, 93.7363, 96.0989, 98.2601, 0.03663
6, 4147, 3810, 3870, 4012, 2, 100, 91.8736, 93.3205, 96.7446, 0.0482276
7, 4212, 4026, 4057, 4129, 3, 100, 95.584, 96.32, 98.0294, 0.0712251
8, 4056, 3970, 3998, 4014, 6, 100, 97.8797, 98.57, 98.9645, 0.147929
9, 3900, 3673, 3719, 3797, 6, 100, 94.1795, 95.359, 97.359, 0.153846
10, 3900, 3796, 3844, 3870, 5, 100, 97.3333, 98.5641, 99.2308, 0.128205
11, 4212, 4047, 4080, 4122, 7, 100, 96.0826, 96.8661, 97.8632, 0.166192
12, 6240, 5584, 5676, 5923, 8, 100, 89.4872, 90.9615, 94.9199, 0.128205
13, 6032, 5758, 5809, 5912, 8, 100, 95.4576, 96.3031, 98.0106, 0.132626
14, 5824, 5725, 5759, 5775, 6, 100, 98.3001, 98.8839, 99.1587, 0.103022
15, 5967, 5649, 5735, 5840, 2, 100, 94.6707, 96.1119, 97.8716, 0.0335177
16, 5967, 5808, 5870, 5903, 7, 100, 97.3353, 98.3744, 98.9274, 0.117312
17, 6409, 6179, 6235, 6317, 2, 100, 96.4113, 97.2851, 98.5645, 0.0312061
18, 7722, 7551, 7608, 7635, 2, 100, 97.7855, 98.5237, 98.8733, 0.0259
19, 7254, 7120, 7158, 7187, 3, 100, 98.1527, 98.6766, 99.0764, 0.0413565
20, 7020, 6903, 6954, 6978, 3, 100, 98.3333, 99.0598, 99.4017, 0.042735
21, 7020, 6652, 6754, 6874, 10, 100, 94.7578, 96.2108, 97.9202, 0.14245
22, 7020, 6860, 6943, 6971, 5, 100, 97.7208, 98.9031, 99.302, 0.0712251
23, 7488, 7341, 7367, 7390, 2, 100, 98.0369, 98.3841, 98.6912, 0.0267094
24, 10010, 9945, 9996, 10002, 1, 100, 99.3506, 99.8601, 99.9201, 0.00999001
25, 9724, 9685, 9718, 9721, 0, 100, 99.5989, 99.9383, 99.9691, 0
26, 9724, 9685, 9710, 9716, 3, 100, 99.5989, 99.856, 99.9177, 0.0308515
27, 9438, 9291, 9358, 9383, 3, 100, 98.4425, 99.1524, 99.4172, 0.0317864
28, 9438, 9354, 9409, 9418, 0, 100, 99.11, 99.6927, 99.7881, 0
29, 9724, 9661, 9708, 9710, 0, 100, 99.3521, 99.8355, 99.856, 0
30, 6435, 6264, 6382, 6402, 4, 100, 97.3427, 99.1764, 99.4872, 0.0621601
31, 6435, 6257, 6388, 6424, 6, 100, 97.2339, 99.2696, 99.8291, 0.0932401
32, 6240, 6048, 6191, 6236, 2, 100, 96.9231, 99.2147, 99.9359, 0.0320513
33, 6435, 6345, 6421, 6426, 5, 100, 98.6014, 99.7824, 99.8601, 0.0777001
34, 6006, 5809, 5916, 5960, 4, 100, 96.7199, 98.5015, 99.2341, 0.0666001
35, 6435, 6231, 6371, 6434, 2, 100, 96.8298, 99.0054, 99.9845, 0.03108
