RefOffset, Offset of the evt, Deltat
160.777206, 155.178909, 5
160.777206, 155.115067, 5
160.777206, 153.916168, 6
160.777206, 156.406235, 4
160.777206, 155.306396, 5
160.777206, 155.961624, 4
160.777206, 154.649170, 6
160.777206, 154.996048, 5
160.777206, 154.750778, 6
160.777206, 153.364182, 7
160.777206, 154.964310, 5
160.777206, 154.544525, 6
160.777206, 154.825470, 5
160.777206, 153.848999, 6
160.777206, 154.478790, 6
160.777206, 154.785721, 5
160.777206, 154.550186, 6
160.777206, 154.801407, 5
160.777206, 154.403107, 6
160.777206, 156.808914, 3
160.777206, 155.062119, 5
160.777206, 153.807922, 6
160.777206, 154.837173, 5
160.777206, 156.562363, 4
160.777206, 156.337006, 4
160.777206, 156.000000, 4
160.777206, 154.810989, 5
160.777206, 154.843384, 5
160.777206, 153.986893, 6
160.777206, 154.928177, 5
160.777206, 161.561646, 0
160.777206, 155.958130, 4
160.777206, 155.426682, 5
160.777206, 154.662888, 6
160.777206, 155.178955, 5
160.777206, 153.654861, 7
160.777206, 154.380692, 6
160.777206, 153.714279, 7
160.777206, 156.303421, 4
160.777206, 154.247467, 6
160.777206, 155.487930, 5
160.777206, 155.574722, 5
